epoch,time,train/box_loss,train/seg_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),metrics/precision(M),metrics/recall(M),metrics/mAP50(M),metrics/mAP50-95(M),val/box_loss,val/seg_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,22.4089,1.47845,2.91359,2.33852,1.4383,0.00906,0.81095,0.06806,0.02526,0.00772,0.69154,0.05123,0.01587,1.96529,5.59049,3.28389,1.99293,0.000651852,0.000651852,0.000651852
2,43.4459,1.47989,2.52311,1.84011,1.42515,0.19021,0.23383,0.12159,0.04726,0.148,0.1194,0.06007,0.02347,1.89776,6.47383,3.39401,1.84354,0.00130982,0.00130982,0.00130982
3,61.7626,1.52877,2.54952,1.77635,1.44386,0.34891,0.22886,0.20527,0.08955,0.36348,0.23881,0.20641,0.08987,1.91132,3.8585,2.7271,1.80365,0.00195898,0.00195898,0.00195898
4,80.5828,1.50522,2.44013,1.63617,1.43488,0.36194,0.42289,0.32902,0.13978,0.50128,0.31343,0.32673,0.1356,1.80414,3.70762,2.47173,1.79971,0.0019604,0.0019604,0.0019604
5,100.139,1.47563,2.37099,1.53343,1.3981,0.38065,0.49254,0.38385,0.19305,0.41384,0.51244,0.42009,0.18279,1.70567,3.00227,1.87134,1.63213,0.0019472,0.0019472,0.0019472
6,118.612,1.45872,2.33463,1.51187,1.40968,0.53322,0.46766,0.50867,0.25149,0.48374,0.52239,0.50199,0.23736,1.66092,3.24071,1.84324,1.61754,0.001934,0.001934,0.001934
7,137.536,1.4158,2.27156,1.43546,1.39792,0.48773,0.54726,0.46656,0.24711,0.52787,0.57214,0.48847,0.23875,1.66711,2.9916,1.68545,1.58796,0.0019208,0.0019208,0.0019208
8,156.546,1.41236,2.3194,1.40094,1.37863,0.53891,0.5466,0.52109,0.26828,0.54872,0.55224,0.531,0.25815,1.671,2.98247,1.73554,1.60483,0.0019076,0.0019076,0.0019076
9,174.912,1.38925,2.22301,1.33708,1.36667,0.67275,0.54207,0.55582,0.28583,0.67888,0.56716,0.57648,0.28674,1.64761,2.87121,1.60696,1.52644,0.0018944,0.0018944,0.0018944
10,194.643,1.38114,2.21522,1.31312,1.35832,0.4942,0.40796,0.41078,0.20496,0.54005,0.39303,0.39654,0.1881,1.90031,3.53857,2.13066,1.82991,0.0018812,0.0018812,0.0018812
11,213.397,1.37213,2.2065,1.30121,1.34022,0.47268,0.50746,0.46342,0.236,0.44292,0.50249,0.43518,0.18975,1.73033,3.12414,1.80156,1.67671,0.001868,0.001868,0.001868
